reactor,species1,species2,species3,species4,species5,species6,species7,species8,species9,species10,species11,species12,species13,species14,species15,species16,species17,species18,species19,species20,species21,species22,species23
1,101,102,103,104,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
2,13,26,13,8,0,3,8,0,0,5,4,4,4,1,1,0.1,0.1,3,2,0.1,0.1,0.1,0
3,4,45,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,10,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,10,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,10,0,70,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,50,15,0,25,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,78,3,0,8,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30,0,0,25,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,15,0,50,2,5,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,3,8,0,60,2,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,45,15,0,2,3,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,1,20,0,35,15,8,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,18,0,40,20,12,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1,25,0,35,20,6,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,0,12,0,20,40,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,10,0,28,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
18,50,8,0,12,10,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,33,10,0,5,8,12,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,30,18,0,25,10,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,55,10,0,10,8,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,40,18,0,20,4,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,40,20,0,20,10,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,60,8,0,15,5,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,8,0,20,9,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,45,15,0,10,12,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,75,2,0,12,4,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,50,9,0,20,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,50,11,0,15,11,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,10,6,0,40,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
31,2,1,0,70,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18
32,1,1,0,60,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
33,6,4,0,55,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
34,5,4,0,44,5,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
35,3,0,0,55,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,30
